make_model,hp_kw,km,age,gearing_type,gears,price
Audi A1,92.0,12960.0,1.0,Automatic,5.0,17950
Audi A1,70.0,8600.0,1.0,Automatic,7.0,17950
Audi A1,70.0,14300.0,2.0,Automatic,7.0,17950
Audi A1,70.0,9463.0,1.0,Automatic,5.0,17944
Audi A1,92.0,20326.0,3.0,Automatic,7.0,17940
Audi A1,70.0,70000.0,3.0,Automatic,7.0,17950
Audi A1,66.0,23664.0,1.0,Automatic,5.0,17500
Audi A1,66.0,51900.0,3.0,Automatic,7.0,17500
Audi A1,70.0,15000.0,2.0,Automatic,7.0,17500
Audi A1,92.0,33000.0,3.0,Automatic,7.0,17500
Audi A1,66.0,12000.0,3.0,Automatic,5.0,17450
Audi A1,66.0,42000.0,2.0,Automatic,7.0,17500
Audi A1,85.0,25976.0,2.0,Automatic,5.0,17930
Audi A1,70.0,26299.0,2.0,Automatic,5.0,17500
Audi A1,70.0,40000.0,2.0,Automatic,5.0,17495
Audi A1,66.0,36530.0,2.0,Automatic,7.0,17490
Audi A1,67.0,29159.0,2.0,Automatic,5.0,17490
Audi A1,141.0,55000.0,3.0,Automatic,7.0,17490
Audi A1,70.0,40133.0,3.0,Automatic,7.0,17449
Audi A1,92.0,38562.0,2.0,Automatic,5.0,17445
Audi A1,70.0,7300.0,1.0,Automatic,7.0,17444
Audi A1,92.0,10457.0,2.0,Automatic,6.0,17440
Audi A1,70.0,27058.0,3.0,Automatic,7.0,17420
Audi A1,70.0,38344.0,3.0,Automatic,5.0,17450
Audi A1,110.0,45276.0,3.0,Automatic,7.0,17445
Audi A1,70.0,16607.0,1.0,Automatic,7.0,17370
Audi A1,70.0,26462.0,3.0,Automatic,5.0,17350
Audi A1,66.0,62000.0,2.0,Automatic,7.0,17900
Audi A1,85.0,40257.0,2.0,Automatic,7.0,17930
Audi A1,85.0,36709.0,3.0,Automatic,7.0,17920
Audi A1,70.0,25330.0,2.0,Automatic,7.0,17900
Audi A1,66.0,11300.0,3.0,Automatic,7.0,17900
Audi A1,70.0,10170.0,1.0,Automatic,7.0,17900
Audi A1,85.0,12260.0,1.0,Automatic,7.0,17900
Audi A1,70.0,44604.0,3.0,Automatic,5.0,17900
Audi A1,71.0,25751.0,2.0,Automatic,5.0,17900
Audi A1,70.0,13000.0,2.0,Automatic,7.0,17900
Audi A1,70.0,63136.0,3.0,Automatic,7.0,17900
